"age","N","proportion","proportionL","proportionH"
"0-14",0,0,0,0.650772263823107
"15-24",3.384,0.4,0.0731888791764628,1.03279358941999
"25-34",10.755,0.9,0.460381403444199,1.64105116781778
"35-44",32.06,3.5,2.40155211837876,4.89611626018108
"45-54",45.339,5.1,3.71578239485056,6.71483926578669
"55-64",60.775,8.5,6.58857353649468,10.8242737897539
"65-74",53.878,15.8,12.1257592452143,20.1515931815303
"75+",89.052,24.6,20.235557304118,29.3568921804497
