"age","N","proportion","proportionL","proportionH"
"0-14",0,0,0,0.650772263823107
"15-24",0,0,0,0.435088496108815
"25-34",0,0,0,0.308216874881046
"35-44",0,0,0,0.401906283782591
"45-54",3,0.337457817772778,0.0696460539852125,0.983000564716152
"55-64",12,1.67832167832168,0.870143312119216,2.91332291124743
"65-74",23,6.74486803519062,4.32338329387516,9.94894853022736
"75+",39,10.7734806629834,7.77394558080965,14.4326135846942
