"Fit","Intercept","InterceptL","InterceptH","Slope","SlopeL","SlopeH","R_squared"
"Fatality",-6.71788572787584,-7.08223591294439,-6.3535355428073,0.104595371207883,0.0976307809590142,0.111559961456753,0.95627586703002
"Critical",-4.62023656132575,-5.00475232097862,-4.23572080167288,0.0849365393399195,0.0775864821148596,0.0922865965649793,0.928310219788944
"Severe",-1.39812486117682,-1.76174964133371,-1.03450008101993,0.0517767761860734,0.0448260521246832,0.0587275002474636,0.843277181758727
