"age","N","proportion","proportionL","proportionH"
"0-14",0,0,0,0.650772263823107
"15-24",0,0,0,0.435088496108815
"25-34",0,0,0,0.308216874881046
"35-44",5,0.54585152838428,0.177466942543605,1.26920426861878
"45-54",9,1.01237345331834,0.463937174160967,1.91306763298479
"55-64",20,2.7972027972028,1.71679525859556,4.28710835940428
"65-74",26,7.62463343108504,5.04089261288138,10.9724047846731
"75+",18,4.97237569060773,2.97321649052748,7.74484898554299
