"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202037,49,2794,0.49,49,4268863,1.15,65.45,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202038,59,2853,0.578,57.8,4268863,1.38,66.83,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202039,58,2911,0.527,52.7,4268863,1.36,68.19,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202040,82,2993,0.519,51.9,4268863,1.92,70.11,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202041,143,3136,0.528,52.8,4268863,3.35,73.46,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202042,375,3511,0.599,59.9,4268863,8.78,82.25,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202043,652,4163,0.556,55.6,4268863,15.27,97.52,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202044,922,5085,0.591,59.1,4268863,21.6,119.12,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202045,955,6040,0.596,59.6,4268863,22.37,141.49,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202046,835,6875,0.574,57.4,4268863,19.56,161.05,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202047,728,7603,0.575,57.5,4268863,17.05,178.1,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202048,675,8278,0.581,58.1,4268863,15.81,193.92,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202049,612,8890,0.557,55.7,4268863,14.34,208.25,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202050,659,9549,0.567,56.7,4268863,15.44,223.69,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202051,618,10167,0.579,57.9,4268863,14.48,238.17,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-51",TRUE,TRUE,TRUE,TRUE,FALSE
"male","CH",202052,578,10745,0.571,57.1,4268863,13.54,251.71,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-52",TRUE,TRUE,TRUE,TRUE,FALSE
"male","CH",202053,577,11322,0.574,57.4,4268863,13.52,265.22,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-53",TRUE,TRUE,TRUE,TRUE,TRUE
"male","CH",202101,418,11740,0.577,57.7,4268863,9.79,275.01,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2021-01",TRUE,TRUE,TRUE,TRUE,TRUE
"male","CH",202102,138,11878,0.616,61.6,4268863,3.23,278.25,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2021-02",FALSE,FALSE,FALSE,FALSE,FALSE
"female","CH",202009,26,26,0.5,50,4337170,0.6,0.6,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202010,53,79,0.486,48.6,4337170,1.22,1.82,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202011,151,230,0.435,43.5,4337170,3.48,5.3,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202012,323,553,0.386,38.6,4337170,7.45,12.75,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202013,430,983,0.37,37,4337170,9.91,22.66,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202014,246,1229,0.371,37.1,4337170,5.67,28.34,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202015,145,1374,0.401,40.1,4337170,3.34,31.68,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202016,91,1465,0.417,41.7,4337170,2.1,33.78,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202017,45,1510,0.425,42.5,4337170,1.04,34.82,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202018,32,1542,0.5,50,4337170,0.74,35.55,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202019,14,1556,0.452,45.2,4337170,0.32,35.88,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202020,12,1568,0.48,48,4337170,0.28,36.15,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202021,10,1578,0.667,66.7,4337170,0.23,36.38,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202022,9,1587,0.474,47.4,4337170,0.21,36.59,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202023,1,1588,0.2,20,4337170,0.02,36.61,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202024,3,1591,0.429,42.9,4337170,0.07,36.68,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202025,8,1599,0.471,47.1,4337170,0.18,36.87,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202026,8,1607,0.471,47.1,4337170,0.18,37.05,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202027,16,1623,0.421,42.1,4337170,0.37,37.42,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202028,21,1644,0.389,38.9,4337170,0.48,37.9,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202029,12,1656,0.343,34.3,4337170,0.28,38.18,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202030,18,1674,0.31,31,4337170,0.42,38.6,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202031,27,1701,0.443,44.3,4337170,0.62,39.22,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202032,20,1721,0.408,40.8,4337170,0.46,39.68,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202033,31,1752,0.585,58.5,4337170,0.71,40.4,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202034,22,1774,0.431,43.1,4337170,0.51,40.9,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202035,19,1793,0.432,43.2,4337170,0.44,41.34,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202036,29,1822,0.403,40.3,4337170,0.67,42.01,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202037,51,1873,0.51,51,4337170,1.18,43.18,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202038,43,1916,0.422,42.2,4337170,0.99,44.18,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202039,52,1968,0.473,47.3,4337170,1.2,45.38,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202040,76,2044,0.481,48.1,4337170,1.75,47.13,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202041,128,2172,0.472,47.2,4337170,2.95,50.08,"COVID19Hosp","sex","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
