"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202035,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202036,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202037,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202038,2,38,0.02,2,873043,0.23,4.35,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202039,1,39,0.009,0.9,873043,0.11,4.47,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202040,1,40,0.006,0.6,873043,0.11,4.58,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202041,0,40,0,0,873043,0,4.58,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202042,6,46,0.01,1,873043,0.69,5.27,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202043,6,52,0.005,0.5,873043,0.69,5.96,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202044,12,64,0.008,0.8,873043,1.37,7.33,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202045,14,78,0.009,0.9,873043,1.6,8.93,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202046,11,89,0.008,0.8,873043,1.26,10.19,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202047,14,103,0.011,1.1,873043,1.6,11.8,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202048,12,115,0.01,1,873043,1.37,13.17,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202049,10,125,0.009,0.9,873043,1.15,14.32,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202050,11,136,0.009,0.9,873043,1.26,15.58,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202051,15,151,0.014,1.4,873043,1.72,17.3,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-51",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202052,12,163,0.012,1.2,873043,1.37,18.67,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-52",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202053,9,172,0.009,0.9,873043,1.03,19.7,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-53",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202101,13,185,0.018,1.8,873043,1.49,21.19,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2021-01",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202102,2,187,0.009,0.9,873043,0.23,21.42,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2021-02",FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202009,0,0,0,0,844155,0,0,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202010,1,1,0.009,0.9,844155,0.12,0.12,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202011,2,3,0.006,0.6,844155,0.24,0.36,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202012,5,8,0.006,0.6,844155,0.59,0.95,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202013,10,18,0.009,0.9,844155,1.18,2.13,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202014,6,24,0.009,0.9,844155,0.71,2.84,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202015,4,28,0.011,1.1,844155,0.47,3.32,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202016,2,30,0.009,0.9,844155,0.24,3.55,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202017,3,33,0.028,2.8,844155,0.36,3.91,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202018,0,33,0,0,844155,0,3.91,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202019,2,35,0.065,6.5,844155,0.24,4.15,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202020,0,35,0,0,844155,0,4.15,"COVID19Hosp","altersklasse_covid19","2021-01-15_07-50-56","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
