"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Entry",186,"LU",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",33,"NE",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",0,"SG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",54,"SH",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",156,"SZ",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",0,"TG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",228,"TI",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",667,"VD",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",237,"VS",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",228,"ZG",2021-01-15,"day","2021-01-15_07-50-56"
"","COVID19CT_Entry",773,"ZH",2021-01-15,"day","2021-01-15_07-50-56"
